                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.82122,                 1.1964,                 1.0334,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              3.334e-05,              3.334e-05,              3.334e-05
                      1,                0.79284,                 1.0111,                 1.0194,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      2,                0.77899,                0.98408,                0.97055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013072,             0.00013072,             0.00013072
                      3,                 0.8481,                 1.0006,                 1.0349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017792,             0.00017792,             0.00017792
                      4,                0.73926,                0.94558,                 1.0189,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022414,             0.00022414,             0.00022414
                      5,                0.73146,                 1.0516,                 1.0499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026936,             0.00026936,             0.00026936
                      6,                0.74709,                  0.982,                0.99747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003136,              0.0003136,              0.0003136
                      7,                 0.7136,                0.89717,                0.96819,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00035684,             0.00035684,             0.00035684
                      8,                0.82031,                   1.02,                 1.0419,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00039909,             0.00039909,             0.00039909
                      9,                0.68275,                 0.9405,                 0.9673,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044036,             0.00044036,             0.00044036
                     10,                0.67771,                0.87076,                0.95879,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00048063,             0.00048063,             0.00048063
                     11,                0.71207,                 1.0335,                0.98796,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00051991,             0.00051991,             0.00051991
                     12,                0.77265,                0.90985,                 1.0014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005582,              0.0005582,              0.0005582
                     13,                0.84042,                 1.0107,                  1.059,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00059551,             0.00059551,             0.00059551
                     14,                0.76472,                0.88983,                 1.0342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063182,             0.00063182,             0.00063182
                     15,                0.92501,                 1.1223,                  1.176,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066714,             0.00066714,             0.00066714
                     16,                0.82833,                 1.1135,                 1.0583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070147,             0.00070147,             0.00070147
                     17,                0.80986,                0.86181,                  1.049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073482,             0.00073482,             0.00073482
                     18,                0.74565,                0.87561,                 1.0068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00076717,             0.00076717,             0.00076717
                     19,                0.79307,                0.92918,                 1.0155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079853,             0.00079853,             0.00079853
                     20,                0.84692,                0.95153,                 1.0282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008289,              0.0008289,              0.0008289
                     21,                0.82643,                0.83668,                0.98994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00085828,             0.00085828,             0.00085828
                     22,                0.75392,                0.88975,                0.98734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088667,             0.00088667,             0.00088667
                     23,                0.89558,                 1.0221,                  1.061,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091407,             0.00091407,             0.00091407
                     24,                 0.8547,                0.96665,                 1.0502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094048,             0.00094048,             0.00094048
                     25,                0.77125,                0.87945,                 1.0294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009659,              0.0009659,              0.0009659
                     26,                0.76786,                0.84046,                 1.0322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099033,             0.00099033,             0.00099033
                     27,                0.83256,                0.78255,                0.95291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010138,              0.0010138,              0.0010138
                     28,                0.83793,                0.85818,                 1.0009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010362,              0.0010362,              0.0010362
                     29,                0.93249,                 1.0072,                 1.1051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010577,              0.0010577,              0.0010577
